
"run.number","line1","line2","initial.villages","fertile.land","barren.land","tribute","probability.fragment","probability.grow","probability.death","probability.attack","placement.distance","moving.distance","conquering.area","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","all.visible.rivals","average.visible.rivals"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","26","1.3","0.25","0.24749999999999983","20","10","0.5"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","22","1.1","0.05","0.22499999999999987","10","0","0"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","11","1.5555555555555556","0.2222222222222222","0.22499999999999976","18","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","23","1.1","0.05","0.22499999999999987","10","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","11","1.6842105263157894","0.2894736842105263","0.22499999999999976","19","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","12","1.6842105263157894","0.2894736842105263","0.22499999999999976","19","0","0"
"10","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","9","1.2571428571428571","0.34285714285714286","0.28285714285714325","35","30","0.8571428571428571"
"9","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","8","1.40625","0.375","0.26718750000000024","32","30","0.9375"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","13","1.6842105263157894","0.2894736842105263","0.22499999999999976","19","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","14","1.6842105263157894","0.2894736842105263","0.22499999999999976","19","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","24","1.1","0.05","0.22499999999999987","10","0","0"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","14","1.2222222222222223","0.25","0.24999999999999978","18","12","0.6666666666666666"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","12","1.5555555555555556","0.2222222222222222","0.22499999999999976","18","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","25","1.1","0.05","0.22499999999999987","10","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","15","1.6842105263157894","0.2894736842105263","0.22499999999999976","19","0","0"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","13","1.5555555555555556","0.2222222222222222","0.22499999999999976","18","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","16","1.6842105263157894","0.2894736842105263","0.22499999999999976","19","0","0"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","14","1.5555555555555556","0.2222222222222222","0.22499999999999976","18","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","26","1.1","0.05","0.22499999999999987","10","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","17","1.6842105263157894","0.2894736842105263","0.22499999999999976","19","0","0"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","15","1.3888888888888888","0.25","0.24999999999999978","18","6","0.3333333333333333"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","15","1.5555555555555556","0.2222222222222222","0.22499999999999976","18","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","27","1.1","0.05","0.22499999999999987","10","0","0"
"9","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","9","1.53125","0.359375","0.26718750000000024","32","22","0.6875"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","18","1.6842105263157894","0.2894736842105263","0.22499999999999976","19","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","28","1.1","0.05","0.22499999999999987","10","0","0"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","16","1.5555555555555556","0.2222222222222222","0.22499999999999976","18","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","19","1.6842105263157894","0.2894736842105263","0.22499999999999976","19","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","22","1.2777777777777777","0.19444444444444445","0.24999999999999978","18","8","0.4444444444444444"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","29","1.1","0.05","0.22499999999999987","10","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","20","1.6842105263157894","0.2894736842105263","0.22499999999999976","19","0","0"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","17","1.5555555555555556","0.2222222222222222","0.22499999999999976","18","0","0"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","16","1.3888888888888888","0.25","0.24999999999999978","18","6","0.3333333333333333"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","30","1.1","0.05","0.22499999999999987","10","0","0"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","14","1.3333333333333333","0.3888888888888889","0.30000000000000027","36","36","1"
"9","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","10","1.5625","0.359375","0.26718750000000024","32","20","0.625"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","18","1.5555555555555556","0.2222222222222222","0.22499999999999976","18","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","21","1.6842105263157894","0.2894736842105263","0.22499999999999976","19","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","23","1.3888888888888888","0.16666666666666666","0.24999999999999978","18","2","0.1111111111111111"
"3","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","12","1.3529411764705883","0.4117647058823529","0.26470588235294146","34","36","1.0588235294117647"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","22","1.6842105263157894","0.2894736842105263","0.22499999999999976","19","0","0"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","17","1.3888888888888888","0.19444444444444445","0.2749999999999999","18","4","0.2222222222222222"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","19","1.5555555555555556","0.2222222222222222","0.22499999999999976","18","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","24","1.3888888888888888","0.16666666666666666","0.24999999999999978","18","2","0.1111111111111111"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","23","1.6842105263157894","0.2894736842105263","0.22499999999999976","19","0","0"
"9","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","11","1.59375","0.359375","0.26718750000000036","32","18","0.5625"
