
"run.number","green.patches","initial.villages","fertile.land","barren.land","tribute","probability.fragment","probability.grow","probability.death","probability.attack","placement.distance","moving.distance","conquering.area","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","all.visible.rivals","average.visible.rivals"
"6","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","8","1","0","0.8826923076923077","13","0","0"
"10","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","16","1","0","0.9","11","0","0"
"4","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","13","1","0","0.8795454545454545","11","0","0"
"3","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","10","1","0","0.859090909090909","11","0","0"
"9","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","8","1.0769230769230769","0.038461538461538464","0.8307692307692307","13","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","13","1.0833333333333333","0.041666666666666664","0.84375","12","0","0"
"10","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","17","1","0","0.9","11","0","0"
"4","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","14","1","0","0.8795454545454545","11","0","0"
"2","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","10","1","0","0.9","11","0","0"
"6","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","9","1","0","0.8826923076923077","13","0","0"
"1","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","10","1","0","0.9","11","0","0"
"4","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","15","1","0","0.8795454545454545","11","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","14","1.0833333333333333","0.041666666666666664","0.84375","12","0","0"
"5","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","10","1","0","0.859090909090909","11","0","0"
"4","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","16","1","0","0.8795454545454545","11","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","15","1.0833333333333333","0.041666666666666664","0.84375","12","0","0"
"3","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","11","1","0","0.8590909090909091","11","0","0"
"6","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","10","1","0","0.8826923076923077","13","0","0"
"8","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","9","1.1428571428571428","0.07142857142857142","0.8517857142857143","14","0","0"
"1","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","11","1","0","0.9","11","0","0"
"4","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","17","1","0","0.8795454545454545","11","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","16","1.0833333333333333","0.041666666666666664","0.84375","12","0","0"
"2","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","11","1","0","0.9","11","0","0"
"9","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","9","1.0769230769230769","0.038461538461538464","0.8307692307692307","13","0","0"
"5","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","11","1","0","0.8590909090909091","11","0","0"
"6","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","11","1","0","0.8826923076923077","13","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","17","1.0833333333333333","0.041666666666666664","0.84375","12","0","0"
"4","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","18","1","0","0.8795454545454545","11","0","0"
"1","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","12","1","0","0.9","11","0","0"
"8","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","10","1.1428571428571428","0.07142857142857142","0.8517857142857143","14","0","0"
"6","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","12","1","0","0.8826923076923077","13","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","18","1.0833333333333333","0.041666666666666664","0.84375","12","0","0"
"4","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","19","1","0","0.8795454545454545","11","0","0"
"9","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","10","1.0769230769230769","0.038461538461538464","0.8307692307692307","13","0","0"
"1","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","13","1","0","0.9","11","0","0"
"4","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","20","1","0","0.8795454545454545","11","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","19","1.0833333333333333","0.041666666666666664","0.84375","12","0","0"
"1","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","14","1","0","0.9","11","0","0"
"4","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","21","1","0","0.8795454545454545","11","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","20","1.0833333333333333","0.041666666666666664","0.84375","12","0","0"
"9","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","11","1.0769230769230769","0.038461538461538464","0.8307692307692307","13","0","0"
"10","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","18","1.0769230769230769","0.038461538461538464","0.8653846153846153","13","0","0"
"4","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","22","1","0","0.8795454545454545","11","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","21","1.0833333333333333","0.041666666666666664","0.84375","12","0","0"
"6","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","13","1.0714285714285714","0.03571428571428571","0.8678571428571429","14","0","0"
"9","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","12","1.0769230769230769","0.038461538461538464","0.8307692307692307","13","0","0"
"4","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","23","1","0","0.8795454545454545","11","0","0"
"10","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","19","1.0769230769230769","0.038461538461538464","0.8653846153846154","13","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","22","1.0833333333333333","0.041666666666666664","0.84375","12","0","0"
"6","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","14","1.0714285714285714","0.03571428571428571","0.8678571428571429","14","0","0"
"8","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","11","1.25","0.125","0.84375","16","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","23","1.0833333333333333","0.041666666666666664","0.84375","12","0","0"
"6","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","15","1.0714285714285714","0.03571428571428571","0.8678571428571429","14","0","0"
"10","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","20","1.0769230769230769","0.038461538461538464","0.8653846153846154","13","0","0"
"8","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","12","1.25","0.125","0.84375","16","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","24","1.0833333333333333","0.041666666666666664","0.84375","12","0","0"
"3","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","12","1.1428571428571428","0.07142857142857142","0.8357142857142856","14","0","0"
"6","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","16","1.0714285714285714","0.03571428571428571","0.8678571428571428","14","0","0"
"5","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","12","1","0.041666666666666664","0.84375","12","2","0.16666666666666666"
"10","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","21","1.0769230769230769","0.038461538461538464","0.8653846153846154","13","0","0"
"8","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","13","1.25","0.125","0.84375","16","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","25","1.0833333333333333","0.041666666666666664","0.84375","12","0","0"
"6","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","17","1.0714285714285714","0.03571428571428571","0.8678571428571429","14","0","0"
"3","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","13","1.1428571428571428","0.07142857142857142","0.8357142857142856","14","0","0"
"9","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","13","1.1333333333333333","0.13333333333333333","0.8099999999999999","15","4","0.26666666666666666"
"7","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","26","1.0833333333333333","0.041666666666666664","0.84375","12","0","0"
"6","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","18","1.0714285714285714","0.03571428571428571","0.8678571428571429","14","0","0"
"4","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","24","1","0","0.8795454545454545","11","0","0"
"8","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","14","1.25","0.125","0.84375","16","0","0"
"1","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","15","1.0833333333333333","0.041666666666666664","0.88125","12","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","27","1.0833333333333333","0.041666666666666664","0.84375","12","0","0"
"4","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","25","1","0","0.8795454545454545","11","0","0"
"6","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","19","1.0714285714285714","0.03571428571428571","0.8678571428571429","14","0","0"
"2","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","12","1.0769230769230769","0.038461538461538464","0.8826923076923077","13","0","0"
"8","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","15","1.25","0.125","0.84375","16","0","0"
"4","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","26","1","0","0.8795454545454545","11","0","0"
"3","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","14","1.1428571428571428","0.07142857142857142","0.8357142857142856","14","0","0"
"5","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","13","1.0833333333333333","0.041666666666666664","0.84375","12","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","28","1","0.041666666666666664","0.84375","12","2","0.16666666666666666"
"1","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","16","1.0833333333333333","0.041666666666666664","0.88125","12","0","0"
"9","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","14","1.2","0.13333333333333333","0.8099999999999999","15","2","0.13333333333333333"
"4","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","27","1","0","0.8795454545454545","11","0","0"
"2","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","13","1.0769230769230769","0.038461538461538464","0.8826923076923077","13","0","0"
"6","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","20","1","0.03571428571428571","0.8678571428571429","14","2","0.14285714285714285"
"8","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","16","1.25","0.125","0.84375","16","0","0"
"3","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","15","1.1428571428571428","0.07142857142857142","0.8357142857142856","14","0","0"
"7","82","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","29","1","0","0.84375","12","0","0"
